Model,Category,In-net (overall),In-net (rand),In-net (time),Cross-net (overall),Time split drop,Transfer drop
gru,Deep Learning,0.8318,0.8565,0.7948,0.5851,0.0616,0.2467
lstm,Deep Learning,0.8291,0.8732,0.785,0.4839,0.0882,0.3452
lightgbm,Classical ML,0.8105,0.8757,0.7453,0.5795,0.1304,0.231
xgboost,Classical ML,0.8088,0.873,0.7446,0.5707,0.1284,0.2381
random-forest,Classical ML,0.8072,0.8743,0.7401,0.5785,0.1343,0.2286
rnn,Deep Learning,0.7748,0.8411,0.7251,0.5097,0.116,0.2651
nn,Deep Learning,0.7722,0.7808,0.7637,0.4305,0.0171,0.3417
mlp,Deep Learning,0.7721,0.7864,0.7577,0.5438,0.0287,0.2283
knn,Classical ML,0.7606,0.8088,0.7124,0.4479,0.0964,0.3127
logistic-regression,Classical ML,0.6968,0.7238,0.6697,0.5526,0.0541,0.1442
svm,Classical ML,0.6779,0.7143,0.6416,0.3991,0.0727,0.2788
